filename,structural_validity,style_consistency,visual_coherence,confidence_warning_usefulness,overall_quality,manual_notes
formal_jacket_rw_001.png,2,2,1,2,2,"Structurally valid because it recommends tshirt, pants, and shoes instead of another jacket. The formal style is consistent. The beige polo is slightly casual, but the full outfit still works reasonably well."
formal_jacket_rw_002.png,2,2,2,2,2,"Strong recommendation. The input is formal and the recommended pants, shirt, and shoes all match the formal category. The colours and outfit structure are coherent."
formal_pants_rw_001.png,2,2,2,2,2,"Good formal recommendation. The input pants are complemented by a formal shirt, jacket, and shoes. The outfit is visually coherent and the reliable status makes sense."
formal_pants_rw_002.png,2,0,0,2,0,"Structurally valid because it recommends jacket, tshirt, and shoes instead of pants. However, the predicted style is sporty while the true style is formal, so the recommendations are from the wrong style. The warning is useful because both style and type are uncertain."
formal_shoes_rw_001.png,2,2,2,1,2,"Structurally valid because it recommends jacket, pants, and tshirt instead of shoes. The formal style is consistent and the outfit works well visually. The style warning is slightly cautious, but still acceptable because style confidence is just below threshold."
formal_shoes_rw_002.png,2,2,2,1,2,"Strong formal recommendation. The jacket, pants, and shirt match the formal shoe input well. The outfit is coherent. The warning is cautious because style confidence is below threshold, but the result is still good."
formal_tshirt_rw_001.png,2,0,0,2,0,"Structurally valid because it recommends jacket, pants, and shoes instead of tshirt. However, the input is formal but predicted as sporty, so the recommendations are from the wrong style. The warning is useful because both style and type are uncertain."
formal_tshirt_rw_002.png,2,0,0,2,0,"Structurally valid because it avoids tshirt and recommends other item types. However, the input is formal but predicted as streetwear, so the recommendations do not match the intended formal style. The style uncertainty warning is useful."
gothic_jacket_rw_001.png,2,2,2,2,2,"Strong gothic recommendation. The system recommends pants, tshirt, and shoes instead of another jacket. All items clearly match the gothic style and work well visually with the input."
gothic_jacket_rw_002.png,2,2,2,2,2,"Strong recommendation. The input jacket is gothic and the recommended pants, tshirt, and shoes are all clearly gothic. The outfit is visually coherent and the reliable status makes sense."
gothic_pants_rw_001.png,2,2,2,1,2,"Good gothic recommendation. The recommended jacket, shoes, and tshirt match the gothic style and fit the input pants well. The warning is a bit cautious because the final result is strong, but it is still understandable due to low type confidence."
gothic_pants_rw_002.png,2,2,2,2,2,"Very strong gothic recommendation. The input pants are matched with a gothic jacket, shoes, and tshirt. The style is consistent and the outfit works visually. The reliable status is appropriate."
gothic_shoes_rw_001.png,2,2,2,2,2,"Strong gothic recommendation. The system avoids recommending shoes and suggests jacket, pants, and tshirt. All items fit the gothic style and visually match the boots well."
gothic_shoes_rw_002.png,2,0,0,0,0,"Structurally valid because it avoids shoes, but the style prediction is wrong. The input is clearly gothic, while the recommendations are streetwear. The system marks it as reliable, so the warning is misleading."
gothic_tshirt_rw_001.png,2,1,1,0,1,"Structurally valid because it recommends jacket, pants, and shoes instead of tshirt. The predicted style is streetwear, but the input has a gothic/streetwear overlap. Some items work visually, especially the black jacket and shoes, but the overall style is not fully gothic. The reliable status is too confident."
gothic_tshirt_rw_002.png,2,1,1,0,1,"Structurally valid because it avoids tshirt. The recommendations are streetwear, and the input has some streetwear elements, but the true style is gothic. The outfit is partially usable, but the style consistency is weaker. The reliable status is too confident because the style is wrong."
sporty_jacket_rw_001.png,2,0,0,2,0,"Structurally valid because it recommends tshirt, pants, and shoes instead of jacket. However, the input is sporty and the system predicted formal, so the recommendations are from the wrong style. The style uncertainty warning is useful."
sporty_jacket_rw_002.png,2,1,1,2,1,"Structurally valid because it avoids jacket. The system predicted streetwear instead of sporty, but the input has some streetwear overlap. The recommendations are partially usable, although the blue shoes fit less well. The warning is useful because both style and type are uncertain."
sporty_pants_rw_001.png,2,2,1,2,1,"Structurally valid because it recommends jacket, tshirt, and shoes instead of pants. The sporty style is correct, but the pink jacket does not visually match the grey pants very well. The recommendation is partially useful overall."
sporty_pants_rw_002.png,2,2,2,2,2,"Strong sporty recommendation. The system recommends tshirt, jacket, and shoes instead of pants. The items match the sporty style and the outfit is visually coherent. The uncertainty warning is useful because both confidence values are low, even though the result is good."
sporty_shoes_rw_001.png,2,2,2,1,2,"Strong sporty recommendation. The system avoids recommending shoes and suggests pants, jacket, and tshirt. The items match the sporty style and create a coherent outfit. The warning is slightly cautious because the result is good."
sporty_shoes_rw_002.png,2,1,1,2,1,"Structurally valid because it avoids shoes. The system predicted streetwear instead of sporty, but the recommendations still partly fit casual/sporty fashion. The outfit is usable, but not fully sporty. The style warning is useful."
sporty_tshirt_rw_001.png,2,2,2,2,2,"Strong sporty recommendation. The predicted style and type are correct, and the recommended pants, jacket, and shoes fit the sporty style well. The reliable status is appropriate."
sporty_tshirt_rw_002.png,2,0,0,2,0,"Structurally valid because it recommends jacket, pants, and shoes instead of tshirt. However, the input is sporty and the system predicted formal, so the recommendations are from the wrong style. The style uncertainty warning is useful."
streetwear_jacket_rw_001.png,2,2,2,1,2,"Strong streetwear recommendation. The system avoids jacket and recommends tshirt, pants, and shoes. The items match the streetwear style and work well with the input. The style warning is slightly cautious because the result is good."
